stock,1_day,4_hour,1_hour
mmm,1.14,0.6,0.36
abt,0.95,0.63,0.49
abbv,0.91,0.63,0.37
acn,1.18,0.72,0.48
atvi,0.64,0.37,1.0
adbe,1.48,0.79,0.56
amd,2.22,0.99,0.81
aes,1.38,0.86,0.53
afl,0.97,0.6,0.4
a,1.73,0.81,0.52
akam,1.23,0.77,0.57
alk,1.8,0.83,0.69
alb,2.18,1.44,0.57
are,1.37,0.97,0.47
algn,2.33,1.18,0.68
alle,1.37,0.91,0.48
lnt,1.12,0.77,0.41
all,1.25,0.81,0.44
googl,1.75,0.59,0.37
goog,1.44,0.61,0.39
mo,2.34,0.51,0.41
amzn,1.87,0.78,0.5
amcr,0.97,0.76,0.4
aee,1.04,0.72,0.34
aal,2.04,1.01,0.71
aep,1.08,0.63,0.39
axp,1.28,0.62,0.5
aig,1.28,0.98,0.61
amt,1.37,0.81,0.79
awk,1.18,0.71,0.41
amp,1.43,0.92,0.71
abc,1.13,0.89,0.4
ame,0.99,0.73,0.4
amgn,0.87,0.49,0.36
aph,1.04,0.74,0.43
adi,1.23,0.76,0.46
antm,1.1,0.59,0.32
aon,0.99,0.72,0.46
aos,1.33,0.9,0.49
apa,3.5,1.61,0.71
aapl,1.44,0.62,0.43
amat,2.15,0.97,0.63
aptv,1.82,1.27,0.72
adm,1.21,0.77,0.49
anet,2.81,0.97,0.5
ajg,0.99,0.73,0.43
aiz,1.35,0.88,0.4
t,0.92,0.49,0.3
ato,1.09,0.84,0.38
adsk,1.65,0.9,0.59
adp,1.09,0.7,0.41
azo,1.06,0.85,0.57
avb,1.15,0.82,0.46
avy,1.16,0.81,0.49
bkr,2.01,1.66,2.31
bll,0.99,0.62,0.39
bac,1.2,0.61,0.46
bk,1.11,0.68,0.48
bax,1.31,0.79,0.43
bdx,0.98,0.68,0.43
brk.b,0.89,0.5,0.32
bby,1.55,0.87,0.73
bio,1.56,1.06,0.47
biib,1.2,1.62,1.15
blk,1.31,0.88,0.53
ba,1.64,0.97,0.67
bkng,1.45,1.14,0.67
bwa,1.49,1.02,0.8
bxp,1.59,0.78,0.41
bsx,0.94,0.58,0.44
bmy,0.86,0.49,0.34
avgo,1.26,1.55,0.45
br,1.2,0.79,0.44
bf.b,0.94,0.69,0.43
chrw,1.19,0.79,0.49
cog,1.74,0.98,1.42
cdns,1.29,0.8,0.51
czr,2.68,1.41,1.27
cpb,0.86,1.49,0.46
cof,1.65,2.35,0.55
dvn,2.19,1.38,1.11
dxcm,1.73,1.17,0.72
fang,1.83,1.04,0.57
dlr,1.52,0.94,0.49
dfs,1.45,0.86,0.61
disca,2.1,0.64,0.42
disck,2.06,0.9,0.73
dish,2.66,1.31,0.71
dg,1.04,0.61,0.4
dltr,1.27,1.11,0.66
d,1.08,0.62,0.4
dpz,1.36,0.96,0.54
dov,1.09,0.79,0.45
dow,1.68,1.22,1.55
dte,1.03,0.7,0.36
duk,0.97,0.57,0.37
dre,1.15,0.53,0.28
dd,3.41,1.27,0.52
dxc,1.7,1.58,0.76
emn,1.35,0.99,0.54
etn,1.93,0.71,0.5
ebay,1.37,1.02,0.6
ecl,1.22,1.91,0.73
eix,1.18,1.22,1.09
ew,1.27,1.6,0.48
ea,2.71,0.77,0.55
emr,1.03,0.67,0.43
enph,2.94,1.25,0.81
etr,1.18,0.76,0.43
eog,1.59,1.04,1.12
efx,1.37,1.07,0.48
eqix,3.03,1.97,0.54
eqr,1.14,0.77,0.45
ess,1.51,0.81,0.47
el,1.41,0.87,0.41
etsy,2.5,1.23,0.87
evrg,1.09,0.76,0.38
es,1.04,0.72,0.41
re,1.23,0.77,0.51
exc,1.1,0.63,0.4
expe,2.14,2.07,1.25
expd,1.75,1.51,0.48
exr,2.38,0.87,0.5
xom,1.29,0.76,0.52
ffiv,1.26,0.96,0.5
fb,1.5,0.47,0.34
fast,1.25,0.77,0.5
frt,1.29,0.77,0.52
fdx,1.42,0.81,0.49
fis,1.59,0.91,0.47
fitb,1.56,0.71,0.52
fe,1.07,0.72,0.43
frc,1.79,1.0,0.57
fisv,1.28,0.72,0.43
flt,1.34,1.29,0.53
flir,1.16,0.84,0.43
fls,1.32,0.94,0.5
fmc,1.15,0.83,0.48
f,2.72,0.85,0.57
ftnt,1.65,1.92,0.71
ftv,1.08,0.82,0.5
fbhs,1.7,0.93,0.38
foxa,1.18,0.81,0.57
fox,1.16,0.88,0.54
ben,1.37,0.95,0.51
fcx,2.39,2.8,1.48
gps,2.63,1.23,0.71
grmn,2.75,0.84,0.52
it,1.23,1.67,0.53
gnrc,2.72,1.34,0.68
gd,0.93,0.68,0.42
ge,1.32,0.81,0.37
gis,3.02,0.51,0.39
gm,1.61,0.78,0.57
gpc,1.01,0.67,0.41
gild,1.1,0.55,0.3
gl,0.97,1.9,1.03
gpn,1.54,1.92,0.52
gs,1.11,0.67,0.45
gww,1.28,0.8,0.43
hal,2.07,0.95,0.59
hbi,2.26,1.25,0.8
lmt,0.95,0.66,0.4
l,0.97,1.47,0.42
low,1.28,1.23,0.65
lumn,4.3,2.45,0.84
lyb,1.18,0.74,0.51
mtb,1.37,0.75,0.5
mro,1.89,1.11,0.7
mpc,1.81,0.9,0.56
mktx,2.04,1.4,0.54
mar,1.56,1.65,1.23
mmc,0.95,0.69,0.38
mlm,1.24,0.96,0.51
mas,1.43,0.82,0.54
ma,1.19,0.66,0.53
mkc,1.29,0.7,0.46
mxim,1.34,0.7,0.42
mcd,0.78,0.51,0.36
mck,1.13,0.74,0.5
mdt,1.11,1.48,0.38
mrk,0.86,0.75,0.41
met,1.15,0.6,0.46
mtd,1.6,1.12,1.08
mgm,1.66,1.66,0.76
mchp,1.72,0.87,0.55
mu,1.71,0.87,0.58
msft,1.26,0.58,0.36
maa,1.18,0.81,0.42
mhk,2.14,1.78,0.62
tap,1.13,0.8,0.57
mdlz,0.79,0.54,0.37
mpwr,2.18,1.44,0.65
mnst,0.96,0.6,0.43
mco,1.23,0.86,0.77
ms,1.11,0.82,0.45
mos,1.96,0.92,0.66
msi,1.1,0.76,0.44
msci,1.37,0.97,0.55
ndaq,1.06,0.92,0.33
ntap,1.24,0.85,0.64
nflx,1.96,0.93,0.61
nwl,3.8,0.95,0.57
nem,2.98,1.69,0.73
nwsa,1.31,0.87,0.56
nws,1.31,1.55,0.54
nee,1.06,0.58,0.4
nlsn,1.81,0.75,0.41
nke,1.28,0.67,0.43
ni,1.09,1.48,0.4
nsc,1.11,0.8,0.71
ntrs,1.28,0.85,0.53
noc,1.2,0.71,0.44
nlok,2.16,0.79,0.49
nclh,2.94,1.28,1.34
nov,1.91,1.12,0.71
nrg,1.43,0.79,0.5
nue,1.83,1.42,0.82
nvda,2.21,1.17,0.57
nvr,1.28,1.05,0.55
nxpi,1.73,0.92,0.68
orly,0.98,0.7,0.46
oxy,1.63,1.06,0.68
odfl,3.05,1.33,0.54
omc,1.06,0.81,0.5
oke,1.49,2.33,0.53
orcl,1.13,0.58,0.49
otis,3.42,3.83,0.44
pcar,1.09,0.67,0.43
pkg,1.23,0.82,0.44
ph,1.25,0.85,0.5
payx,1.08,0.7,0.43
payc,1.83,1.21,0.66
pypl,1.87,0.96,0.6
penn,2.15,1.23,0.83
pnr,1.32,0.91,0.48
pbct,1.39,1.52,0.42
pep,0.7,0.44,0.34
pki,1.6,0.95,0.52
prgo,1.19,1.04,0.48
pfe,0.96,0.55,0.38
pm,2.23,0.54,0.43
swks,1.66,0.93,0.59
sna,1.16,0.71,0.69
so,1.01,0.52,0.36
luv,1.5,0.71,0.55
swk,1.75,1.34,0.58
sbux,1.15,0.6,0.41
stt,1.35,0.81,0.55
ste,1.29,0.89,0.47
syk,1.15,0.76,0.47
sivb,2.36,1.24,0.63
syf,1.78,1.1,0.69
snps,1.3,0.81,0.59
syy,1.18,0.7,0.56
tmus,1.24,0.58,0.44
trow,1.61,0.85,0.52
ttwo,2.73,1.03,0.7
tpr,1.57,2.45,1.95
tgt,1.47,0.75,0.45
tel,1.09,0.89,0.73
tdy,1.12,0.84,0.48
tfx,1.33,0.9,0.69
ter,1.71,1.13,0.75
tsla,2.62,1.31,0.71
txn,1.27,0.62,0.44
txt,1.44,1.06,0.52
tmo,1.1,0.72,0.46
tjx,1.05,0.79,0.66
tsco,1.32,0.9,1.16
tt,1.32,2.26,1.08
tdg,1.27,1.1,0.6
trv,0.99,0.61,0.38
tfc,1.71,0.68,0.7
twtr,2.59,0.71,0.34
tyl,1.62,1.02,0.76
tsn,1.01,1.17,0.42
udr,1.2,1.0,0.49
ulta,1.13,0.96,1.16
usb,1.45,0.56,0.38
uaa,2.16,1.09,0.68
ua,2.32,0.98,0.68
unp,1.07,0.63,0.46
ual,1.96,1.42,0.7
unh,1.02,0.62,0.41
ups,1.26,0.63,0.52
uri,1.62,1.04,0.7
uhs,1.34,1.03,0.58
unm,1.46,0.84,0.61
vlo,1.87,1.01,0.68
vtr,1.59,0.82,0.51
vrsn,1.17,0.82,0.46
vrsk,1.02,0.69,0.35
vz,0.92,0.46,0.32
vrtx,1.26,0.82,0.51
vfc,1.92,1.28,0.62
viac,3.37,3.53,0.45
vtrs,5.56,1.85,0.37
v,1.16,0.65,0.34
vnt,8.14,5.62,1.48
vno,2.07,1.1,0.5
vmc,1.45,1.53,0.5
wrb,1.05,0.69,0.38
wab,1.08,0.79,1.1
wmt,0.88,0.61,0.44
wba,2.13,0.59,0.45
dis,1.4,0.66,0.42
wm,0.89,0.58,0.38
wat,1.34,0.92,0.67
wec,1.05,0.73,0.41
wfc,1.3,0.71,0.51
well,1.22,0.74,1.02
wst,1.46,1.24,0.69
wdc,1.81,0.96,0.55
wu,1.28,0.71,0.45
wrk,1.34,0.96,0.52
wy,1.35,0.96,1.1
whr,1.54,0.86,0.54
wmb,1.16,0.7,0.41
wltw,1.04,0.65,0.45
wynn,1.83,1.07,0.8
xel,1.06,0.72,0.42
cah,1.08,1.91,1.08
kmx,2.02,1.12,0.61
ccl,2.93,1.45,0.92
carr,3.42,1.0,0.51
ctlt,2.15,1.34,0.52
cat,1.5,0.65,0.46
cboe,1.24,0.76,0.38
cbre,1.27,0.87,0.48
cdw,1.22,0.83,0.47
ce,1.67,1.83,1.14
cnc,1.69,0.81,0.83
cnp,1.04,0.68,0.42
cern,0.64,0.46,0.35
cf,2.01,1.07,1.92
crl,1.7,1.19,0.56
schw,1.97,0.78,0.41
chtr,1.65,0.99,0.54
cvx,1.23,0.67,0.46
cmg,1.28,1.18,0.72
cb,0.97,1.51,0.42
chd,0.86,0.66,0.43
ci,1.07,0.62,0.45
cinf,1.25,0.81,0.42
ctas,1.02,0.74,0.48
csco,1.29,0.67,0.52
c,1.2,0.62,0.4
cfg,1.78,0.78,0.45
ctxs,1.01,0.85,0.44
clx,1.05,0.78,0.55
cme,1.29,0.83,0.48
cms,1.05,0.75,0.37
ko,0.88,0.42,0.33
ctsh,1.16,0.68,0.44
cl,0.8,0.59,0.38
cmcsa,1.25,0.58,0.38
cma,1.91,1.03,0.44
cag,0.8,0.57,0.42
cop,1.62,0.95,0.57
ed,1.3,0.66,0.42
stz,1.1,0.84,0.41
coo,1.98,0.86,0.46
cprt,1.16,0.73,0.73
glw,1.45,0.8,0.61
ctva,3.15,0.74,0.44
cost,1.35,0.66,0.5
cci,1.46,0.81,0.51
csx,1.09,0.59,0.41
cmi,1.14,0.73,0.5
cvs,1.01,0.58,0.41
dhi,1.43,2.29,0.6
dhr,1.17,0.73,0.38
dri,1.16,0.94,0.59
dva,1.51,1.0,1.2
de,1.24,0.7,0.49
dal,1.61,0.82,0.63
xray,1.45,0.89,0.49
