,1 day,4 hour,1 hour
mmm,43.29000000000008,18.531700000000015,-9.451300000000032
abt,2.3549999999999756,15.435399999999944,-10.793200000000041
abbv,16.245000000000203,11.76049999999995,-2.3811999999998363
acn,115.98999999999947,57.41682699999993,35.446826999999644
atvi,-2.31880000000001,-6.215899999999991,4.745799999999974
adbe,49.69060000000013,-8.554400000000385,-28.315500000000327
amd,54.03800000000003,-10.820000000000121,-9.755400000000023
aes,-2.0899999999999856,2.497445000000017,2.688899999999986
afl,10.76999999999996,3.6909000000000702,-4.029499999999999
a,-6.5999999999999375,18.85071500000005,-4.302315000000078
akam,4.230099999999965,-28.665800000000004,-14.755999999999986
alk,-1.0699999999999719,3.4235000000000113,6.2476999999999805
alb,-28.975100000000566,44.61465800000008,62.05865800000038
are,-23.65000000000005,3.7499999999998863,-4.045999999999964
algn,105.74999999999994,20.736818000000596,-5.589118000000269
alle,-13.684999999999846,-8.753999999999792,-9.219399999999908
lnt,3.435000000000052,-11.350541999999983,-2.077342000000023
all,20.60000000000008,-13.302400000000048,1.9679999999999893
googl,58.75169999999993,23.4670000000001,-15.095100000000002
goog,60.682699999999954,-4.1887999999999295,15.259699999999924
mo,-5.190000000000005,-7.4683999999999955,13.00790000000002
amzn,16.99650000000007,-30.768299999999897,-1.9475000000000051
amcr,-1.0950000000000113,-0.28859999999998465,-1.0581999999999852
aee,-8.989999999999881,-17.375960000000006,-3.0246599999998693
aal,0.8199999999999736,-1.0053999999999839,0.21169999999999334
aep,15.259999999999906,-12.797666000000092,-6.723766000000026
axp,5.7549999999999955,9.00159999999994,23.629099999999767
aig,-3.1050000000000253,5.747700000000066,-4.721600000000059
amt,14.100000000000279,1.6322999999997876,-44.982200000000006
awk,3.0899999999998187,-15.657700000000318,5.564999999999685
amp,82.48000000000008,3.036000000000172,16.285199999999747
abc,14.680000000000206,9.838300000000203,15.2547000000001
ame,7.960000000000193,1.411313999999905,0.14838600000004476
amgn,-48.89300000000023,-5.495200000000068,8.046999999999912
aph,-15.035000000000018,11.657000000000131,1.1712999999999667
adi,-38.269900000000064,-2.166099999999915,7.816200000000123
antm,-71.21000000000066,9.892390999999975,29.02419999999961
aon,95.32499999999959,8.686600000000396,-6.051600000000462
aos,8.710000000000008,4.560599999999937,0.4861000000000075
apa,6.162999999999997,6.915200000000048,0.4651999999999461
aapl,77.31199999999998,31.887700000000166,-3.6975000000003035
amat,54.41020000000013,0.3727000000001226,1.893199999999922
aptv,-25.730000000000018,9.70669999999997,-7.745900000000006
adm,17.14000000000017,-2.194800000000015,-10.057199999999938
anet,44.33500000000005,-3.0485999999998654,23.76699999999991
ajg,38.88499999999996,15.573099999999926,19.07169999999985
aiz,-43.64999999999981,-45.98870000000011,3.697400000000073
t,-0.7050000000000214,3.7542000000000044,2.0588999999999977
ato,0.9800000000000182,-11.20115299999999,-1.3081529999999333
adsk,52.144999999999925,46.389200000000244,5.365800000000206
adp,12.689999999999685,22.277899999999903,-19.731100000000026
azo,-583.9700000000009,168.2655639999989,96.52746399999864
avb,12.529999999999632,-24.75679999999977,10.99729999999974
avy,22.859999999999843,4.265799999999899,-0.6189999999999998
bkr,-11.677999999999997,-2.6879000000000026,-1.4129000000000218
bll,8.299999999999898,-0.4175950000000057,-7.802199999999985
bac,-2.760000000000005,-3.5529999999999227,-7.048899999999893
bk,5.685000000000002,2.367599999999996,-0.03190000000002868
bax,15.39000000000005,-11.081100000000077,-2.1921000000000532
bdx,-6.080000000000354,-13.815243999999808,-12.51444399999977
brk.b,-20.939000000000135,-26.29219999999941,36.57850000000042
bby,-15.714999999999876,1.562799999999939,-7.6638999999999555
bio,-21.24000000000001,-47.63909999999976,44.77110000000016
biib,-19.479999999999876,16.221499999999992,-10.718199999999939
blk,-227.9799999999994,55.554500000000075,-42.62250000000108
ba,131.13499999999974,23.989900000000063,0.6667000000000343
bkng,-1156.1350000000032,248.2059999999983,-186.88080000000286
bwa,10.95,-1.4444239999999837,-3.650675999999983
bxp,-41.75999999999989,-19.588099999999997,2.8091000000001003
bsx,-7.510099999999994,1.3603999999999843,2.0334000000000074
bmy,12.930000000000078,5.180199999999971,5.60599999999998
avgo,-101.05489999999918,-26.774799999999686,-26.08519999999976
br,25.610000000000042,12.541105999999928,-19.110905999999858
bf.b,-4.25,-5.610800000000047,-4.498999999999938
chrw,12.735000000000056,-4.265799999999885,-1.1026999999999703
cog,-1.3601000000000116,0.713500000000014,1.5225000000000009
cdns,89.18000000000004,26.811600000000027,23.090299999999928
czr,-4.314599999999956,-15.91259999999999,10.403299999999959
cpb,-0.6049999999999329,-2.172900000000027,0.3942000000000121
cof,34.9549999999998,-1.4521000000001862,8.542300000000054
cah,18.669999999999973,8.182699999999976,-1.8854999999999507
kmx,20.294999999999902,-20.95259999999996,-6.913900000000098
ccl,2.11509999999999,-0.14109999999998912,-0.8450999999999862
carr,13.399999999999984,-6.813820000000035,5.176800000000071
ctlt,-5.949999999999996,-68.68669999999999,8.67818100000001
cat,-16.657999999999703,-9.760500000000064,-1.6010000000003117
cboe,8.59500000000017,-2.3239000000000942,15.605999999999938
cbre,14.635000000000048,-4.592399999999969,-3.660900000000069
cdw,39.51500000000007,-7.59665399999983,6.563753999999761
ce,-11.560000000000088,-56.612200000000016,-27.79830000000007
cnc,20.425000000000068,-4.606595000000141,-5.09989999999992
cnp,0.22000000000001307,2.6749999999999936,-0.5158999999999985
cern,4.423000000000059,0.4650999999999783,3.8243999999999687
cf,-21.67499999999997,19.533099999999948,3.5185999999999638
crl,49.89999999999998,37.85080000000002,19.64200000000008
schw,-4.515000000000029,4.458999999999996,15.954199999999979
chtr,-54.54000000000002,58.962278999999626,-33.62962100000044
cvx,21.724999999999994,28.002900000000267,24.29379999999989
cmg,-671.6299999999994,472.60120000000006,-184.67660000000114
cb,17.800000000000153,-6.0030000000001,5.195599999999843
chd,4.299999999999983,18.512400000000014,-9.186900000000009
ci,54.70000000000002,35.54209999999978,13.654500000000127
cinf,-10.945000000000022,-13.582600000000056,-8.087299999999942
ctas,-57.499999999999375,4.940299999999979,-20.075999999999794
csco,-0.11399999999995458,0.23760000000000758,3.7052999999999514
c,2.455100000000023,-2.5452000000000012,7.058700000000002
cfg,-2.205000000000023,-2.1156999999999613,2.0815999999999875
ctxs,7.027100000000061,18.24320000000003,-9.65450000000014
clx,12.890000000000072,7.989600000000223,3.890299999999911
cme,18.37700000000001,62.22823799999975,-2.5043380000001036
cms,10.924999999999926,-11.582503999999801,-1.1385039999999762
ko,4.626900000000049,-0.3733000000000928,-2.7481000000000577
ctsh,-16.31109999999991,-9.885900000000106,2.2021999999999764
cl,-1.4249999999999972,-3.0847000000000975,-2.2934000000000765
cmcsa,2.4252999999999574,-7.299499999999945,-4.681699999999957
cma,24.740000000000123,-14.642700000000033,6.97980000000004
cag,0.46499999999997854,2.3652999999999906,0.9538000000000153
cop,-4.229999999999961,2.348099999999917,20.589300000000108
ed,-4.770000000000067,1.2312999999999477,1.7499000000000393
stz,9.819999999999823,15.747800000000012,10.758900000000182
coo,68.28499999999943,-17.448056000000406,-11.379955999999652
cprt,-16.045200000000047,3.446600000000007,-5.792000000000016
glw,-6.22500000000003,8.118694999999992,-2.156599999999976
ctva,-0.4800000000000466,2.5929000000000144,-1.7427000000000348
cost,107.0000000000008,39.700100000000305,-6.025499999999909
cci,-39.3449999999998,56.27089999999981,4.886600000000044
csx,0.5638000000000005,3.3876999999999953,3.123900000000024
cmi,-25.610000000000042,-29.18309999999994,-11.880400000000122
cvs,19.47999999999982,7.339500000000072,-4.894599999999855
dhi,57.5500000000001,15.393699999999981,9.23830000000008
dhr,2.595000000000624,-41.88610000000017,22.888099999999724
dri,43.969999999999985,1.8428999999998723,-16.632699999999886
dva,-13.510000000000034,-7.205799999999968,12.406300000000073
de,-5.870000000000289,38.000699999999995,-6.675599999999747
dal,1.0201000000000242,9.192500000000017,-11.948399999999982
xray,-4.987999999999975,-6.353699999999979,0.3575999999999411
dvn,-15.539999999999928,7.111600000000074,2.8060999999999297
dxcm,30.740299999999863,50.45989999999995,12.889800000000022
fang,-12.225000000000136,-7.337700000000055,-9.133899999999969
dlr,-0.899999999999963,-37.618199999999746,5.150399999999976
dfs,30.83,-9.620199999999997,12.400099999999952
disca,18.981200000000026,3.605299999999989,-3.822100000000056
disck,14.699000000000002,-12.218049000000025,-8.121399999999959
dish,-9.495100000000008,-2.7561880000000105,-1.293099999999976
dg,-30.83999999999969,8.143499999999847,22.400999999999897
dltr,-41.413999999999874,19.86079999999987,1.906700000000214
d,-22.620000000000026,-14.378685999999888,6.48208599999991
dpz,-52.6219999999999,-38.03259999999972,70.61109999999962
dov,4.729999999999961,-1.9129000000001497,-6.6810000000001395
dow,-1.640000000000036,-16.06630000000007,-18.196900000000085
dte,-24.359999999999943,-28.056831999999943,-4.742332000000232
duk,-17.059999999999903,-19.453299999999913,9.322699999999898
dre,-0.024999999999927525,9.295836000000044,0.4248360000000275
dd,14.985000000000099,-8.597800000000085,-6.024799999999985
dxc,-4.7799999999999905,-6.514799999999987,-3.54979999999998
emn,1.859999999999971,-19.70669999999987,8.814799999999934
etn,26.810000000000414,-1.8544999999999732,-11.069199999999825
ebay,8.770999999999944,3.084399999999988,11.41469999999999
ecl,20.38500000000002,-4.741599999999977,4.404800000000165
eix,1.640000000000093,-11.094741999999982,-8.24974200000009
ew,-19.21000000000018,-2.7103000000001174,6.244100000000074
ea,-17.70699999999988,18.826399999999936,-6.670500000000061
emr,-0.015000000000000568,-7.9883000000000095,-1.4495999999999896
enph,-10.099000000000245,101.4279,18.187300000000164
etr,17.150000000000148,-16.765277000000054,2.2080769999999745
eog,11.834999999999894,13.746300000000076,11.405900000000088
efx,61.05999999999989,-0.32409999999995875,9.051900000000245
eqix,215.88999999999896,-54.73746200000022,-87.78793799999971
eqr,8.825000000000152,-14.841699999999925,-1.6727000000000913
ess,-27.74500000000026,61.100500000000466,8.82209999999995
el,42.615000000000094,-28.722200000000186,27.417599999999936
etsy,54.808499999999924,39.61879999999991,-4.968599999999938
evrg,-1.4299999999999784,9.507699999999922,-1.2127000000000123
es,-20.580000000000098,-16.65171500000011,-6.011714999999967
re,38.52000000000021,-34.07419999999979,-0.957200000000114
exc,-5.19899999999997,-3.647000000000034,-4.439900000000016
expe,-15.072999999999979,-11.225799999999921,-29.89069999999988
expd,-20.350000000000122,9.682699999999997,-5.1040999999999315
exr,-4.619999999999976,-17.365099999999984,-7.4027000000000385
xom,28.22000000000014,-1.6374000000000706,-13.300200000000018
ffiv,34.879999999999626,-0.12760000000039895,-5.091800000000092
fb,17.714999999999407,38.368199999999774,-7.724900000000218
fast,-4.084100000000035,-9.206400000000052,-3.3652999999999906
frt,-23.29999999999994,-20.583382999999998,-14.883299999999977
fdx,81.97000000000028,-20.96099999999987,1.9715999999999383
fis,-9.609999999999935,23.79010000000003,5.540399999999963
fitb,-9.276900000000047,3.335100000000015,-2.3638000000000368
fe,-4.810000000000059,-9.046600000000012,3.697400000000002
frc,-89.4179999999999,-33.23240000000007,36.641400000000175
fisv,-20.47499999999991,-0.38040000000003715,4.849799999999874
flt,14.129999999999967,-15.703699000000057,-3.5705010000000073
flir,-5.115400000000001,3.9726000000000283,2.9613999999999976
fls,-2.809999999999988,1.6527999999999992,0.27899999999999636
fmc,-10.570000000000007,4.306299999999865,10.86450000000012
f,3.4149999999999885,1.308099999999996,-2.567699999999995
ftnt,13.522000000000027,-2.322099999999857,-0.544099999999986
ftv,-1.6799999999999997,-9.086400000000047,-2.2819000000000287
fbhs,-33.165,-3.956200000000024,-1.3491999999998683
foxa,2.453000000000049,2.908099999999912,-3.5848000000000653
fox,1.0019999999999918,-8.738400000000059,0.5500999999999898
ben,-4.344999999999981,-4.425200000000007,-1.519999999999989
fcx,7.885200000000019,-6.323000000000082,-2.6746000000000834
gps,2.8049000000000035,-0.34029999999999383,3.2990999999999904
grmn,-19.350000000000037,20.734300000000133,11.368799999999965
it,95.62500000000003,-61.00380000000007,27.78989999999962
gnrc,-50.71500000000029,-157.78490000000005,0.9084779999998887
gd,4.145999999999958,-4.349400000000031,10.829300000000131
ge,-49.66989999999998,-21.738699999999923,-1.3468000000000302
gis,9.920000000000101,11.357900000000015,-7.781200000000069
gm,-4.664999999999946,-0.7893000000000185,-4.730300000000057
gpc,21.63999999999976,-29.052775999999923,-16.619299999999853
gild,-17.08999999999994,2.9467999999999677,-3.7632999999998944
gl,-11.16000000000004,-10.444975000000085,1.387799999999956
gpn,4.760000000000048,3.578400000000059,0.6784999999999286
gs,77.23000000000019,17.9495,15.747599999999977
gww,-124.10999999999962,-70.2128999999992,-5.10979999999995
hal,4.099999999999994,10.806099999999965,8.802699999999998
hbi,-2.789999999999998,-2.122000000000005,3.2795000000000005
hig,7.9299999999999855,-6.6058000000000305,2.9940000000000566
has,-14.311000000000028,14.152000000000122,-7.3353000000001884
hca,67.91999999999993,-9.223799999999812,-21.419800000000123
peak,9.355000000000036,-3.803102000000006,-4.731899999999996
hsic,5.445000000000107,7.455200000000019,-6.748000000000189
hsy,31.01500000000013,24.43420000000023,20.896300000000224
hes,-19.86500000000008,-19.342099999999846,9.720099999999974
hpe,3.4699999999999775,3.1229999999999976,-1.4711000000000034
hlt,-11.505000000000052,-21.70090000000019,-20.06579999999984
hfc,6.554999999999975,-14.922600000000063,0.8532000000000437
holx,-4.379999999999903,7.717399999999984,0.6311999999999784
hd,85.62999999999971,-31.382999999999754,6.005199999999832
hon,-3.200000000000216,-14.533700000000067,-12.406300000000044
hrl,8.535000000000025,-1.5433999999999486,-3.900699999999979
hst,1.06499999999998,2.431199999999997,1.5363999999999862
hwm,-10.22040000000002,2.268500000000003,1.210400000000032
hpq,5.40499999999998,9.243199999999995,-0.16899999999999693
hum,33.60500000000013,-55.090199999999925,56.706200000000536
hban,-3.266999999999994,1.6018999999999863,1.0159999999999965
hii,-10.810000000000116,45.451846000000074,18.078545999999932
iex,-16.200000000000472,30.531800000000175,9.61100000000016
idxx,149.33500000000026,-25.452900000000568,17.981299999999976
info,8.65499999999993,7.577990999999855,0.8032909999999305
itw,-31.419999999999675,-9.326099999999855,-15.670200000000193
ilmn,61.85500000000013,-32.45490000000049,-12.709700000000197
incy,-8.900000000000091,3.3148999999999944,-4.221700000000126
ir,10.450000000000003,10.576000000000022,2.48449999999999
intc,-0.34509999999995244,-11.393099999999976,7.061500000000002
ice,-14.414999999999878,-5.766699999999929,-4.8390999999999025
ibm,13.320000000000093,-5.684199999999706,-5.66569999999993
ip,-7.160000000000029,-9.659850999999968,-4.289850999999949
ipg,-12.08000000000007,-7.178499999999996,5.064600000000009
