,1_day_pnl,1_day_open_avg,1_day_mean,1_day_std,1_day_var,4_hour_pnl,4_hour_open_avg,4_hour_mean,4_hour_std,4_hour_var,1_hour_pnl,1_hour_open_avg,1_hour_mean,1_hour_std,1_hour_var
nee,0.77,79.75,0.0,1.08,1.16,-2.84,85.06,-0.01,0.66,0.43,8.24,78.46,0.03,0.4,0.16
nlsn,-0.87,21.98,-0.0,0.49,0.24,-2.72,20.36,-0.01,0.21,0.05,-2.95,21.01,-0.01,0.1,0.01
nke,52.55,112.13,0.21,1.78,3.16,1.73,110.81,0.01,1.03,1.07,3.46,113.65,0.01,0.64,0.41
ni,-4.18,28.03,-0.02,0.4,0.16,5.79,29.32,0.02,0.29,0.08,0.68,29.87,0.0,0.14,0.02
nsc,28.45,231.78,0.11,3.25,10.55,-20.61,233.51,-0.08,2.41,5.79,-2.8,231.09,-0.01,1.3,1.69
ntrs,6.25,91.62,0.02,1.55,2.4,-14.18,96.4,-0.06,1.13,1.29,-7.09,102.28,-0.03,0.7,0.48
noc,28.47,480.66,0.11,7.73,59.77,54.59,475.15,0.22,4.77,22.72,37.71,466.29,0.15,2.79,7.81
nlok,0.3,24.69,0.0,0.5,0.25,-5.43,25.82,-0.02,0.3,0.09,-0.8,25.01,-0.0,0.16,0.03
nclh,-2.13,14.16,-0.01,0.51,0.26,2.92,12.72,0.01,0.26,0.07,2.18,11.76,0.01,0.17,0.03
nov,-0.95,19.26,-0.0,0.48,0.23,0.59,17.51,0.0,0.28,0.08,-1.55,18.84,-0.01,0.19,0.03
nrg,-9.51,37.59,-0.04,0.66,0.44,0.28,40.28,0.0,0.44,0.19,5.95,41.74,0.02,0.28,0.08
nue,-23.84,138.39,-0.09,3.2,10.22,-24.79,125.17,-0.1,1.94,3.77,-36.05,146.54,-0.14,1.71,2.94
nvda,-226.21,187.19,-0.9,4.91,24.14,0.35,169.91,0.0,2.54,6.45,14.66,176.41,0.06,1.35,1.83
nvr,1957.01,4702.9,7.77,75.77,5741.14,-130.97,4221.01,-0.52,59.92,3590.23,-198.54,4146.49,-0.79,30.03,902.05
nxpi,35.52,168.61,0.14,3.44,11.82,13.02,172.33,0.05,2.42,5.85,21.6,180.32,0.09,1.77,3.14
orly,261.66,775.99,1.04,9.81,96.15,96.48,675.28,0.38,6.84,46.79,-19.25,617.84,-0.08,3.54,12.5
oxy,-1.82,64.12,-0.01,1.4,1.97,12.18,61.64,0.05,0.97,0.93,-1.23,58.85,-0.0,0.56,0.31
odfl,112.64,296.1,0.45,5.67,32.14,44.43,268.73,0.18,3.43,11.74,36.6,254.25,0.15,1.88,3.53
omc,-26.93,77.93,-0.11,1.04,1.09,-3.76,68.77,-0.01,0.78,0.6,9.89,69.48,0.04,0.53,0.28
oke,3.72,62.51,0.01,1.0,1.0,-5.16,60.65,-0.02,0.68,0.46,0.26,64.69,0.0,0.46,0.21
orcl,-38.81,80.13,-0.15,1.08,1.17,0.26,73.19,0.0,0.66,0.43,0.79,69.25,0.0,0.56,0.32
otis,14.03,81.61,0.06,0.94,0.87,9.6,74.74,0.04,0.62,0.39,-1.66,66.29,-0.01,0.36,0.13
pcar,-4.52,65.0,-0.02,0.9,0.81,7.49,57.69,0.03,0.52,0.27,1.28,56.31,0.01,0.3,0.09
pkg,-7.97,134.65,-0.03,2.0,4.01,-24.29,136.65,-0.1,1.53,2.33,0.18,148.25,0.0,0.79,0.63
ph,-25.82,295.63,-0.1,4.65,21.62,12.42,266.39,0.05,3.15,9.92,-2.23,261.85,-0.01,1.61,2.6
payx,4.64,117.14,0.02,1.64,2.68,-3.58,122.47,-0.01,1.19,1.42,-5.31,119.79,-0.02,0.63,0.4
payc,67.82,313.56,0.27,7.48,55.95,-87.92,321.34,-0.35,5.28,27.9,25.41,283.38,0.1,2.58,6.67
pypl,-1.63,80.1,-0.01,1.81,3.27,-8.8,82.34,-0.03,1.27,1.6,-10.45,73.17,-0.04,0.64,0.41
penn,-4.96,31.22,-0.02,0.86,0.75,-7.18,32.48,-0.03,0.57,0.33,5.18,31.59,0.02,0.37,0.14
pnr,6.51,48.77,0.03,0.82,0.68,-7.43,45.93,-0.03,0.54,0.29,-1.99,47.61,-0.01,0.27,0.07
pbct,-3.79,18.05,-0.02,0.34,0.11,1.6,17.64,0.01,0.18,0.03,0.94,18.02,0.0,0.1,0.01
pep,-10.39,175.87,-0.04,1.63,2.66,2.29,170.12,0.01,1.0,1.0,8.44,163.79,0.03,0.76,0.57
pki,-20.02,152.8,-0.08,3.14,9.86,-25.44,171.91,-0.1,2.3,5.31,11.87,181.87,0.05,1.29,1.67
prgo,3.62,37.28,0.01,0.59,0.35,9.33,37.14,0.04,0.44,0.2,1.28,37.44,0.01,0.22,0.05
pfe,-0.08,46.12,-0.0,0.57,0.33,3.9,50.92,0.02,0.41,0.17,-2.75,50.34,-0.01,0.23,0.05
pm,17.36,97.32,0.07,1.11,1.24,16.03,99.2,0.06,0.77,0.59,-0.25,103.91,-0.0,0.56,0.32
psx,-0.37,96.79,-0.0,1.98,3.92,-26.55,87.94,-0.11,1.19,1.42,-19.1,97.16,-0.08,0.86,0.74
pnw,1.65,74.35,0.01,0.99,0.98,-9.33,72.37,-0.04,0.8,0.63,-0.87,73.69,-0.0,0.38,0.15
pxd,-75.46,230.62,-0.3,4.66,21.68,-44.08,235.41,-0.17,2.85,8.14,15.17,229.73,0.06,1.59,2.54
pnc,12.38,152.44,0.05,2.71,7.32,1.0,159.63,0.0,1.66,2.77,5.27,157.93,0.02,1.05,1.11
pool,39.68,346.34,0.16,7.67,58.9,41.25,350.8,0.16,5.99,35.84,22.87,374.8,0.09,3.26,10.64
ppg,-8.94,126.43,-0.04,2.0,4.02,7.29,122.14,0.03,1.39,1.94,-0.15,119.85,-0.0,0.87,0.76
ppl,-1.03,28.2,-0.0,0.35,0.12,-0.74,28.44,-0.0,0.23,0.05,-1.23,29.11,-0.0,0.12,0.02
pfg,32.0,78.14,0.13,1.24,1.53,8.03,70.81,0.03,0.8,0.64,-1.76,69.04,-0.01,0.44,0.19
pg,17.42,143.37,0.07,1.45,2.11,7.86,144.16,0.03,1.23,1.5,-16.32,148.56,-0.06,0.71,0.51
pgr,28.88,127.89,0.11,1.98,3.92,8.77,117.73,0.03,1.19,1.42,-10.38,114.14,-0.04,0.59,0.35
pld,4.81,119.92,0.02,1.92,3.68,-12.24,122.64,-0.05,1.41,1.98,15.23,120.0,0.06,0.82,0.68
pru,0.54,95.86,0.0,1.43,2.04,-11.75,100.58,-0.05,1.04,1.08,-5.6,104.83,-0.02,0.77,0.59
ptc,47.56,120.02,0.19,1.85,3.44,7.88,112.07,0.03,1.55,2.41,9.91,110.53,0.04,0.78,0.61
peg,4.72,61.76,0.02,0.83,0.69,-11.17,64.48,-0.04,0.6,0.36,3.44,65.1,0.01,0.28,0.08
psa,5.45,303.9,0.02,4.72,22.29,36.31,316.67,0.14,3.12,9.73,-27.99,315.65,-0.11,1.78,3.18
phm,30.86,47.96,0.12,0.85,0.72,8.79,41.9,0.03,0.58,0.34,2.24,41.45,0.01,0.39,0.15
pvh,23.5,69.01,0.09,1.61,2.6,-9.02,65.93,-0.04,1.21,1.47,-1.77,68.65,-0.01,0.74,0.55
qrvo,-33.2,96.33,-0.13,2.16,4.68,-32.17,106.81,-0.13,1.53,2.33,-12.22,113.72,-0.05,1.12,1.25
pwr,13.53,144.93,0.05,2.4,5.78,10.4,131.37,0.04,1.79,3.2,7.73,121.99,0.03,1.0,1.0
qcom,27.71,125.15,0.11,2.53,6.42,11.55,138.69,0.05,1.56,2.44,1.37,136.19,0.01,0.85,0.72
dgx,-1.62,138.98,-0.01,1.75,3.07,-12.62,135.03,-0.05,1.37,1.88,-4.33,137.48,-0.02,0.86,0.74
rl,32.38,104.4,0.13,2.04,4.15,12.3,96.13,0.05,1.43,2.03,15.86,97.0,0.06,0.93,0.86
rjf,8.59,102.59,0.03,1.78,3.16,10.5,98.85,0.04,1.16,1.34,2.15,92.27,0.01,0.61,0.38
rtx,1.09,93.7,0.0,1.1,1.21,-17.86,93.27,-0.07,0.8,0.63,-7.29,85.16,-0.03,0.48,0.23
o,-3.51,65.04,-0.01,0.77,0.59,-11.91,69.11,-0.05,0.43,0.19,2.26,73.0,0.01,0.24,0.06
reg,-0.84,61.62,-0.0,0.88,0.78,-8.45,60.99,-0.03,0.7,0.49,0.5,62.66,0.0,0.47,0.22
regn,-100.31,707.36,-0.4,10.24,104.9,9.0,641.66,0.04,7.55,56.95,-35.04,677.44,-0.14,4.16,17.31
rf,2.74,20.82,0.01,0.47,0.22,0.11,20.37,0.0,0.24,0.06,0.76,20.84,0.0,0.16,0.03
rsg,3.9,134.26,0.02,1.54,2.37,4.07,135.63,0.02,1.17,1.38,4.03,129.57,0.02,0.56,0.31
rmd,-18.11,220.47,-0.07,3.22,10.37,33.29,222.47,0.13,2.06,4.23,33.71,210.11,0.13,1.06,1.11
rhi,-11.97,77.67,-0.05,1.39,1.94,-4.92,79.81,-0.02,1.1,1.21,1.72,83.07,0.01,0.62,0.38
rok,71.11,252.94,0.28,3.91,15.26,37.58,222.2,0.15,2.63,6.93,-2.24,204.24,-0.01,1.28,1.65
rol,5.41,37.17,0.02,0.51,0.26,-5.12,35.8,-0.02,0.46,0.21,2.81,34.52,0.01,0.17,0.03
rop,23.41,420.34,0.09,5.32,28.35,-0.28,402.14,-0.0,3.86,14.89,-12.22,406.67,-0.05,1.95,3.82
rost,-33.02,97.77,-0.13,1.68,2.82,-8.6,82.48,-0.03,1.76,3.1,7.2,78.86,0.03,1.52,2.31
rcl,22.01,54.25,0.09,1.65,2.71,-8.5,37.9,-0.03,0.8,0.65,-22.94,43.29,-0.09,0.52,0.27
spgi,-151.0,345.65,-0.6,5.13,26.37,19.94,346.29,0.08,4.31,18.54,48.41,336.5,0.19,2.82,7.93
crm,102.85,167.28,0.41,3.27,10.72,-15.07,177.98,-0.06,2.09,4.38,-15.42,171.81,-0.06,1.49,2.21
sbac,-36.85,290.51,-0.15,5.22,27.23,-54.58,313.51,-0.22,4.15,17.22,14.92,323.65,0.06,2.43,5.93
slb,9.94,46.12,0.04,1.06,1.12,-14.26,36.92,-0.06,0.53,0.28,-8.56,44.9,-0.03,0.33,0.11
stx,26.09,64.33,0.1,1.34,1.8,6.09,78.79,0.02,1.25,1.56,-1.12,82.71,-0.0,0.75,0.57
see,-8.37,51.31,-0.03,0.87,0.76,-6.29,54.41,-0.02,0.68,0.47,5.38,59.77,0.02,0.34,0.12
sre,-12.18,78.08,-0.05,1.03,1.06,9.7,79.67,0.04,0.72,0.51,-7.81,76.93,-0.03,0.38,0.14
now,193.7,435.12,0.77,9.93,98.63,56.54,463.78,0.22,6.81,46.33,-111.32,464.31,-0.44,4.44,19.67
shw,41.18,233.47,0.16,3.99,15.94,65.71,237.88,0.26,3.96,15.71,-4.64,246.82,-0.02,1.79,3.2
spg,6.3,109.78,0.02,1.71,2.93,23.49,106.78,0.09,1.12,1.25,-18.62,128.95,-0.07,0.71,0.51
swks,32.06,101.27,0.13,2.02,4.07,15.58,104.34,0.06,1.43,2.03,-14.86,120.36,-0.06,0.93,0.86
sna,-26.49,229.44,-0.11,2.94,8.67,11.55,213.62,0.05,2.13,4.52,11.54,210.9,0.05,1.16,1.36
so,-1.63,70.62,-0.01,0.91,0.83,5.82,74.36,0.02,0.54,0.29,-3.38,72.24,-0.01,0.31,0.1
luv,4.81,35.66,0.02,0.68,0.46,6.41,38.63,0.03,0.43,0.18,9.5,38.47,0.04,0.3,0.09
swk,-3.28,88.32,-0.01,1.91,3.65,36.7,85.12,0.15,1.23,1.51,11.62,105.09,0.05,1.1,1.21
sbux,-44.08,93.9,-0.17,1.32,1.76,12.63,77.83,0.05,0.69,0.47,8.44,74.4,0.03,0.4,0.16
stt,19.86,73.86,0.08,1.32,1.74,0.64,67.89,0.0,0.8,0.64,-2.1,67.31,-0.01,0.48,0.23
ste,5.03,193.94,0.02,3.3,10.87,-32.57,201.65,-0.13,2.45,6.0,-2.3,215.34,-0.01,1.28,1.65
syk,74.42,239.54,0.3,3.46,12.0,-4.84,212.7,-0.02,2.16,4.66,-27.42,218.43,-0.11,1.31,1.72
sivb,-417.68,511.62,-1.66,14.86,220.86,-124.97,634.03,-0.5,12.0,144.09,47.16,706.24,0.19,7.3,53.32
syf,10.31,32.56,0.04,0.74,0.54,-0.98,33.33,-0.0,0.52,0.28,0.18,35.61,0.0,0.34,0.11
snps,126.23,338.43,0.5,5.58,31.12,65.78,331.11,0.26,3.99,15.91,-62.55,308.15,-0.25,2.4,5.78
syy,7.75,79.83,0.03,1.1,1.22,-0.28,84.46,-0.0,0.82,0.67,8.7,83.75,0.03,0.64,0.4
tmus,14.95,142.06,0.06,1.68,2.82,23.64,137.28,0.09,1.12,1.25,-4.9,130.18,-0.02,0.68,0.46
trow,11.29,114.99,0.04,2.33,5.43,-7.02,116.96,-0.03,1.48,2.18,-1.77,116.6,-0.01,0.79,0.62
ttwo,53.87,117.16,0.21,2.27,5.15,-3.72,123.95,-0.01,1.83,3.35,0.54,118.56,0.0,1.16,1.35
tpr,13.08,36.89,0.05,0.69,0.48,-6.8,32.66,-0.03,0.52,0.27,-3.48,31.53,-0.01,0.38,0.15
tgt,62.63,159.11,0.25,2.98,8.85,-5.52,155.82,-0.02,1.77,3.14,-4.92,144.81,-0.02,0.84,0.7
tel,15.37,123.18,0.06,1.69,2.86,-7.61,121.95,-0.03,1.37,1.87,4.39,122.21,0.02,0.74,0.54
tdy,39.27,399.71,0.16,5.46,29.83,15.25,377.12,0.06,4.1,16.77,-11.75,383.95,-0.05,2.33,5.41
tfx,17.52,241.39,0.07,4.22,17.85,42.58,239.42,0.17,2.7,7.27,26.83,267.39,0.11,1.58,2.49
ter,-42.36,93.93,-0.17,2.03,4.1,-12.66,96.67,-0.05,1.56,2.44,2.79,105.41,0.01,1.06,1.12
tsla,28.79,211.33,0.11,6.85,46.93,-69.0,247.86,-0.27,4.29,18.41,29.17,235.78,0.12,2.36,5.57
txn,19.68,169.26,0.08,2.64,6.98,13.02,166.62,0.05,1.48,2.2,-27.22,165.04,-0.11,0.92,0.84
txt,-4.76,66.89,-0.02,0.96,0.93,4.94,63.43,0.02,0.75,0.56,-1.11,62.85,-0.0,0.4,0.16
tmo,81.77,549.88,0.32,7.9,62.34,72.28,553.81,0.29,5.59,31.26,17.98,543.43,0.07,3.25,10.57
tjx,19.91,71.19,0.08,0.96,0.92,-10.02,61.36,-0.04,0.71,0.5,-4.83,59.99,-0.02,0.62,0.38
tsco,16.92,212.98,0.07,3.46,11.99,4.45,193.71,0.02,2.57,6.59,-21.63,191.15,-0.09,1.44,2.07
tt,26.31,179.87,0.1,2.43,5.9,12.9,169.61,0.05,1.55,2.41,2.38,149.9,0.01,0.99,0.99
tdg,-265.26,643.57,-1.05,9.72,94.52,59.16,580.24,0.23,7.17,51.43,-8.53,568.89,-0.03,4.52,20.44
trv,-3.46,174.67,-0.01,2.22,4.94,-6.85,167.72,-0.03,1.38,1.9,3.91,173.77,0.02,0.82,0.66
tfc,14.7,39.04,0.06,0.83,0.69,1.37,44.54,0.01,0.47,0.22,3.07,45.23,0.01,0.28,0.08
twtr,-22.56,46.33,-0.09,1.19,1.41,-9.04,62.94,-0.04,0.76,0.58,1.92,63.89,0.01,0.26,0.07
tyl,94.91,345.64,0.38,6.97,48.54,-38.0,356.18,-0.15,4.94,24.39,14.54,338.08,0.06,2.51,6.32
tsn,-15.46,69.06,-0.06,0.85,0.72,-16.57,83.15,-0.07,0.72,0.52,5.89,86.77,0.02,0.48,0.23
udr,-4.5,42.49,-0.02,0.63,0.4,12.79,44.58,0.05,0.52,0.27,-2.44,45.95,-0.01,0.29,0.08
ulta,114.22,452.93,0.45,6.39,40.77,-25.97,393.46,-0.1,5.6,31.31,10.44,389.3,0.04,3.68,13.53
usb,16.59,43.44,0.07,0.79,0.62,-0.52,46.03,-0.0,0.36,0.13,-2.42,46.76,-0.01,0.21,0.04
uaa,1.94,9.21,0.01,0.24,0.06,-2.21,9.07,-0.01,0.14,0.02,-2.29,9.22,-0.01,0.09,0.01
ua,1.23,8.21,0.0,0.21,0.04,0.76,8.13,0.0,0.11,0.01,-2.16,8.86,-0.01,0.09,0.01
unp,-4.11,208.85,-0.02,2.97,8.81,-14.68,223.19,-0.06,1.99,3.95,13.0,223.47,0.05,1.38,1.92
ual,-8.4,42.05,-0.03,1.07,1.15,-7.65,38.12,-0.03,0.56,0.31,8.66,39.33,0.03,0.39,0.15
unh,81.21,508.2,0.32,6.61,43.75,-55.31,509.03,-0.22,4.31,18.57,-9.8,488.09,-0.04,2.51,6.3
ups,87.04,181.19,0.35,2.53,6.4,-32.25,182.6,-0.13,1.56,2.43,-31.46,180.88,-0.12,1.26,1.6
uri,-137.58,338.74,-0.55,6.95,48.27,18.4,290.38,0.07,4.38,19.17,18.05,292.6,0.07,2.84,8.06
uhs,22.15,121.43,0.09,2.05,4.19,19.83,105.53,0.08,1.57,2.48,-6.16,113.21,-0.02,0.9,0.82
unm,2.09,39.64,0.01,0.66,0.44,12.49,34.69,0.05,0.48,0.23,-6.95,34.85,-0.03,0.29,0.08
vlo,-12.31,122.91,-0.05,2.95,8.68,-19.58,114.43,-0.08,1.8,3.25,-16.02,126.35,-0.06,1.15,1.32
vtr,-6.35,47.13,-0.03,0.79,0.62,13.64,53.77,0.05,0.6,0.36,3.3,56.17,0.01,0.37,0.14
vrsn,-86.1,194.39,-0.34,2.77,7.68,12.79,178.22,0.05,2.0,3.98,-4.45,168.19,-0.02,0.96,0.93
vrsk,41.71,182.55,0.17,2.34,5.49,3.66,179.76,0.01,1.62,2.63,17.48,170.68,0.07,0.76,0.58
vz,6.09,41.36,0.02,0.49,0.24,-7.46,47.83,-0.03,0.31,0.1,-1.31,50.57,-0.01,0.18,0.03
vrtx,-68.13,299.26,-0.27,4.83,23.28,1.28,274.64,0.01,3.13,9.77,9.5,260.26,0.04,1.68,2.81
vfc,-14.61,33.15,-0.06,0.81,0.66,-11.72,31.65,-0.05,0.5,0.25,-11.99,36.79,-0.05,0.29,0.09
viac,12.32,37.64,0.07,0.78,0.6,-1.75,41.51,-0.01,0.46,0.21,-0.64,42.77,-0.0,0.27,0.08
vtrs,-0.8,10.17,-0.0,0.14,0.02,0.43,11.39,0.0,0.11,0.01,0.94,11.09,0.0,0.05,0.0
v,-74.72,211.15,-0.3,2.64,6.99,15.68,203.51,0.06,1.84,3.38,-7.82,218.95,-0.03,0.86,0.74
vnt,-12.89,27.98,-0.05,0.36,0.13,-7.16,23.19,-0.03,0.26,0.07,-1.83,19.68,-0.01,0.11,0.01
vno,-12.22,23.32,-0.05,0.56,0.31,-6.78,24.31,-0.03,0.39,0.15,3.08,29.31,0.01,0.2,0.04
vmc,32.28,169.82,0.13,2.5,6.26,16.96,162.29,0.07,1.96,3.84,6.07,159.31,0.02,1.07,1.14
wrb,6.17,67.12,0.02,0.94,0.87,5.08,66.78,0.02,0.66,0.43,-0.81,68.65,-0.0,0.32,0.1
wab,4.77,94.94,0.02,1.32,1.74,-2.35,88.82,-0.01,0.96,0.91,-4.04,89.15,-0.02,0.59,0.35
wmt,23.4,138.52,0.09,1.53,2.35,-19.82,126.19,-0.08,1.47,2.18,33.81,138.94,0.13,0.92,0.84
wba,-14.88,36.92,-0.06,0.56,0.31,7.0,38.79,0.03,0.34,0.12,4.01,39.1,0.02,0.25,0.06
dis,11.08,100.81,0.04,1.76,3.1,-3.89,102.72,-0.02,1.04,1.07,19.33,98.1,0.08,0.56,0.32
wm,-0.94,159.83,-0.0,1.77,3.14,12.52,157.88,0.05,1.28,1.63,-3.72,159.26,-0.01,0.77,0.6
wat,-10.72,316.6,-0.04,5.5,30.29,-10.45,314.48,-0.04,3.9,15.22,30.63,325.7,0.12,1.9,3.62
wec,11.31,96.22,0.04,1.3,1.68,-18.5,100.21,-0.07,0.97,0.94,6.02,100.41,0.02,0.5,0.25
wfc,5.91,42.78,0.02,0.72,0.52,2.22,41.72,0.01,0.46,0.21,2.76,43.38,0.01,0.3,0.09
well,-4.73,73.72,-0.02,1.12,1.25,-21.22,83.71,-0.08,0.79,0.62,9.33,86.1,0.04,0.51,0.26
wst,85.88,291.41,0.34,5.41,29.24,-29.23,292.65,-0.12,4.47,19.96,12.51,300.2,0.05,1.75,3.06
wdc,-2.8,40.22,-0.01,0.94,0.89,-3.1,52.6,-0.01,0.8,0.65,0.98,48.39,0.0,0.35,0.13
wu,2.93,14.12,0.01,0.22,0.05,-2.83,15.28,-0.01,0.16,0.03,1.02,16.41,0.0,0.1,0.01
wrk,-5.28,35.89,-0.02,0.62,0.39,18.53,41.44,0.07,0.56,0.32,-1.2,43.63,-0.0,0.3,0.09
wy,3.01,32.36,0.01,0.51,0.26,-7.4,35.67,-0.03,0.34,0.12,-3.65,37.32,-0.01,0.23,0.06
whr,2.33,148.22,0.01,2.91,8.49,-25.49,159.71,-0.1,1.88,3.52,-3.15,163.36,-0.01,1.14,1.29
wmb,5.98,31.95,0.02,0.46,0.22,-4.59,33.13,-0.02,0.33,0.11,3.74,35.63,0.01,0.18,0.03
wltw,16.54,233.3,0.07,3.28,10.77,23.25,235.79,0.09,2.37,5.61,-5.58,221.37,-0.02,1.32,1.75
wynn,-27.61,81.84,-0.11,1.78,3.18,1.46,60.66,0.01,0.96,0.93,-2.24,63.67,-0.01,0.7,0.49
xel,-6.61,69.29,-0.03,0.93,0.87,-19.16,71.05,-0.08,0.67,0.45,-4.09,71.19,-0.02,0.39,0.15
xlnx,28.88,158.2,0.12,4.43,19.61,-20.43,128.27,-0.08,1.73,2.98,-20.71,129.51,-0.08,0.98,0.97
xyl,-12.69,98.33,-0.05,1.39,1.94,26.27,88.62,0.1,0.91,0.83,5.71,79.82,0.02,0.43,0.19
yum,-13.73,123.15,-0.05,1.42,2.02,14.62,116.14,0.06,1.0,1.0,9.71,114.27,0.04,0.52,0.27
zbra,-80.08,291.95,-0.32,6.58,43.24,-39.34,307.23,-0.16,4.51,20.38,-24.97,318.16,-0.1,2.3,5.31
zbh,4.59,119.13,0.02,1.55,2.4,9.49,110.49,0.04,1.15,1.33,-3.69,111.69,-0.01,0.67,0.45
zion,-5.33,47.43,-0.02,1.13,1.28,-6.55,51.45,-0.03,0.75,0.56,6.22,56.14,0.02,0.27,0.07
zts,34.27,162.67,0.14,2.41,5.82,-30.41,165.13,-0.12,1.59,2.52,-12.76,166.49,-0.05,0.87,0.76
